time,dc,ac_rms,snr_db,cardiac_power_fraction,dominant_hr,dominant_freq,periodicity,amplitude_consistency,sqi,status
219.0,464.4319966434009,126.00022595447737,0.3387805613797086,0.7803718372711524,67.5,1.125,0.6406341461665772,0.9791027434604952,0.8001595274505332,QUESTIONABLE
221.0,467.0,120.52937723489794,-0.047367462099269245,0.7719053622409696,67.5,1.125,0.7142233482044935,0.9677467916259053,0.816578507682917,QUESTIONABLE
223.0,468.94884451039013,123.02107778253558,0.2981211747317068,0.7749780208774018,67.5,1.125,0.6554891793344595,0.9716086081959138,0.8009596837904812,QUESTIONABLE
225.0,476.53519328985396,123.39548794209254,0.1902476245613432,0.7835944760993551,67.5,1.125,0.6869723133549528,0.9678970784014052,0.8131089001265089,QUESTIONABLE
227.0,481.48535858748926,122.61673698178329,0.415000382604315,0.807253156278812,75.0,1.25,0.8215017356800896,0.9678796698821407,0.8629277171919798,QUESTIONABLE
229.0,480.6922853830745,125.1709090876367,0.13716825607543376,0.8069843722917812,75.0,1.25,0.598865663354478,0.9704269983228487,0.7965388475876256,QUESTIONABLE
231.0,472.95078390146523,128.50967362267892,1.113174841441983,0.7783296194269861,67.5,1.125,0.619108534405602,0.968657292680042,0.7903748139969046,QUESTIONABLE
233.0,467.9167252142263,128.7609698112032,0.2740012738928723,0.806080852115835,60.0,1.0,0.661880597940364,0.9024475297056349,0.8010649735379913,QUESTIONABLE
235.0,472.5394281727896,126.44993290843267,-0.276332184605989,0.7806448448826006,60.0,1.0,0.5965673511114401,0.9031189329460894,0.7714308772441112,QUESTIONABLE
237.0,469.56949752810397,124.92683342695184,0.46163991747785527,0.7557284743586499,67.5,1.125,0.6533013300644336,0.9260069163832997,0.7830621194078711,QUESTIONABLE
239.0,470.77710328300145,129.10655165679506,0.09911932563654434,0.8012169814363396,75.0,1.25,0.7107705574682365,0.9340369592253639,0.8198937727127111,QUESTIONABLE
241.0,472.4289786878244,124.50484261454662,-0.044542003166979545,0.7810114879312662,67.5,1.125,0.6152697429083237,0.912437292835355,0.7786308713489167,QUESTIONABLE
243.0,475.4297605875704,126.59450975845006,0.8005971873075214,0.7661386733565652,67.5,1.125,0.5670146650128935,0.8588749800999572,0.7474927596033277,QUESTIONABLE
245.0,462.14117457372413,132.0728098086544,0.0627646247129587,0.7660564138212108,60.0,1.0,0.7188761933432298,0.9233228159580834,0.8059078814599121,QUESTIONABLE
247.0,476.2491044935562,130.45596250409946,0.37685421675506814,0.7194801182957267,60.0,1.0,0.6618957820839633,0.9199562754752516,0.7695099317753721,QUESTIONABLE
249.0,476.6803795011965,125.71968865166198,0.8331105423308851,0.7555071343620616,67.5,1.125,0.6789787166041125,0.9338381059883385,0.7920325109763577,QUESTIONABLE
251.0,477.7258726667984,133.59224951939848,1.3083193049752189,0.7715971962190722,67.5,1.125,0.7674596905812741,0.9210984864528808,0.8230964829525873,QUESTIONABLE
253.0,474.80378157597875,135.99033588687496,0.9847598856114339,0.7814736668792726,67.5,1.125,0.7772068211143148,0.912921025085042,0.828335718103012,QUESTIONABLE
255.0,474.6186202726226,134.9775281478913,0.6624788838765971,0.767647351884561,67.5,1.125,0.7745994278282522,0.9240191182535592,0.824242592753012,QUESTIONABLE
257.0,460.66562340853807,143.8464034327831,1.118256815722967,0.7802954349645976,60.0,1.0,0.8642721079555064,0.9765563209733427,0.8667110705671596,QUESTIONABLE
259.0,469.07596862371264,142.33371458437657,1.3533922077350309,0.7971575048020488,60.0,1.0,0.8424827615678657,0.9713064180457937,0.8658691140003381,QUESTIONABLE
261.0,477.15441425320023,140.12995977372768,0.833411396684792,0.7739873807015972,67.5,1.125,0.8001153141328454,0.9500452887515614,0.8396386042708048,QUESTIONABLE
263.0,476.155982255371,135.62963548042768,0.36872093131183903,0.7709631633141597,67.5,1.125,0.8230634043610445,0.9625355418895042,0.8478113950118781,QUESTIONABLE
265.0,475.04041099912143,135.48776912509,1.5832005340379083,0.7733860508085358,67.5,1.125,0.8071434964817567,0.9682967871574953,0.8451568266994404,QUESTIONABLE
267.0,475.1746892546632,130.65066115696186,1.7575911821463293,0.7701000983163386,67.5,1.125,0.8656457193391619,0.9555915168627884,0.8588520585008416,QUESTIONABLE
269.0,478.0609441515646,129.01946562696003,1.7942670615279814,0.780425371729358,67.5,1.125,0.8492010861631596,0.9430056861793001,0.8555316117765511,QUESTIONABLE
271.0,472.4164206436674,126.97642274730724,1.6905805397934754,0.7722666654915364,67.5,1.125,0.8600723265187125,0.9615122347782024,0.8592308111078688,QUESTIONABLE
273.0,473.3202269049841,128.06691515388104,2.11523305066557,0.7759402580687197,67.5,1.125,0.8439227942803069,0.9533461608894193,0.8542221736894637,QUESTIONABLE
275.0,475.10982450773815,125.04027917940608,1.924980739637408,0.7772377509547853,67.5,1.125,0.814931213771572,0.953457915355582,0.8460660475845022,QUESTIONABLE
277.0,480.0899628620214,124.44385060960921,1.3930339159164618,0.7811176412006278,67.5,1.125,0.819091678562861,0.9580481668197242,0.8497841934130543,QUESTIONABLE
279.0,476.27097756204614,123.85549147694809,0.9494857629243691,0.7623963007281912,67.5,1.125,0.8205366459271884,0.9614472478554366,0.8434089636405203,QUESTIONABLE
281.0,478.01645003848773,125.16282675129871,1.6430930881421544,0.7707110455707352,67.5,1.125,0.8108106708883436,0.9585439043900275,0.8432364003728026,QUESTIONABLE
283.0,480.16125518642156,123.57156580936389,1.8042642432360643,0.786713524658816,67.5,1.125,0.7975317561260111,0.95273967799162,0.8444928722996538,QUESTIONABLE
285.0,485.0902291343673,127.79748256303094,1.573953240793492,0.788246928158449,67.5,1.125,0.8135461836219507,0.9528057886854443,0.8482395735607379,QUESTIONABLE
287.0,473.1869275445929,124.27020675372863,1.3920567231558794,0.7693994716058903,67.5,1.125,0.6556681692066698,0.9042269841347607,0.7767793204418356,QUESTIONABLE
289.0,477.8976172389533,130.37058799717232,0.15071368737273072,0.7590084585132654,67.5,1.125,0.608848494320276,0.943661256042113,0.7664638671203379,QUESTIONABLE
291.0,,,,,,,0.0,0.0,0.0,BAD
293.0,,,,,,,0.0,0.0,0.0,BAD
295.0,,,,,,,0.0,0.0,0.0,BAD
297.0,477.9128908360018,128.3317506178032,-2.882585892217453,0.7536170139219472,60.0,1.0,0.6152313469747305,0.9580547189854621,0.771416627142501,BAD
299.0,,,,,,,0.0,0.0,0.0,BAD
301.0,,,,,,,0.0,0.0,0.0,BAD
303.0,,,,,,,0.0,0.0,0.0,BAD
305.0,,,,,,,0.0,0.0,0.0,BAD
