Seconds,Data
78848.131,497
78848.136,494
78848.141,494
78848.147,496
78848.152,495
78848.157,492
78848.162,493
78848.168,495
78848.173,493
78848.178,491
78848.183,493
78848.189,495
78848.194,493
78848.199,492
78848.204,495
78848.21,496
78848.215,494
78848.22,494
78848.225,497
78848.231,498
78848.236,495
78848.241,496
78848.246,498
78848.252,497
78848.257,494
78848.262,494
78848.267,497
78848.273,494
78848.278,490
78848.283,492
78848.288,493
78848.294,491
78848.299,488
78848.304,490
78848.31,491
78848.315,487
78848.32,486
78848.325,489
78848.331,490
78848.336,486
78848.341,487
78848.346,490
78848.352,489
78848.357,485
78848.362,485
78848.367,487
78848.373,484
78848.378,481
78848.383,481
78848.388,483
78848.394,479
78848.399,477
78848.404,480
78848.409,482
78848.415,481
78848.42,482
78848.425,489
78848.43,493
78848.436,495
78848.441,501
78848.446,511
78848.451,518
78848.457,524
78848.462,535
78848.467,547
78848.472,555
78848.478,563
78848.483,575
78848.488,587
78848.494,594
78848.499,601
78848.504,612
78848.509,621
78848.515,625
78848.52,630
78848.525,638
78848.53,644
78848.536,644
78848.541,646
78848.546,651
78848.551,652
78848.557,648
78848.562,648
78848.567,648
78848.572,643
78848.578,637
78848.583,635
78848.588,632
78848.593,624
78848.599,617
78848.604,614
78848.609,609
78848.614,600
78848.62,593
78848.625,590
78848.63,584
78848.635,575
78848.641,570
78848.646,567
78848.651,561
78848.656,553
78848.662,550
78848.667,549
78848.672,544
78848.678,538
78848.683,537
78848.688,536
78848.693,531
78848.699,526
78848.704,527
78848.709,525
78848.714,521
78848.72,519
78848.725,521
78848.73,521
78848.735,518
78848.741,517
78848.746,520
78848.751,520
78848.756,517
78848.762,519
78848.767,522
78848.772,521
78848.777,520
78848.783,523
78848.788,526
78848.793,525
78848.798,525
78848.804,528
78848.809,531
78848.814,530
78848.819,529
78848.825,534
78848.83,536
78848.835,534
78848.84,536
78848.846,538
78848.851,538
78848.856,538
78848.862,540
78848.867,543
78848.872,542
78848.877,539
78848.883,542
78848.888,544
78848.893,541
78848.898,539
78848.904,541
78848.909,541
78848.914,537
78848.919,534
78848.925,535
78848.93,534
78848.935,529
78848.94,527
78848.946,528
78848.951,526
78848.956,521
78848.961,521
78848.967,522
78848.972,519
78848.977,515
78848.982,516
78848.988,517
78848.993,513
78848.998,509
78849.003,510
78849.009,510
78849.014,505
78849.019,503
78849.024,505
78849.03,504
78849.035,500
78849.04,498
78849.046,500
78849.051,498
78849.056,495
78849.061,495
78849.067,498
78849.072,497
78849.077,494
78849.082,496
78849.088,499
78849.093,497
78849.098,495
78849.103,498
78849.109,500
78849.114,497
78849.119,495
78849.124,499
78849.13,499
78849.135,496
78849.14,495
78849.145,498
78849.151,497
78849.156,495
78849.161,496
78849.166,499
78849.172,497
78849.177,494
78849.182,496
78849.187,499
78849.193,497
78849.198,495
78849.203,497
78849.208,498
78849.214,494
78849.219,493
78849.224,496
78849.23,497
78849.235,495
78849.24,495
78849.245,498
78849.251,499
78849.256,495
78849.261,494
78849.266,498
78849.272,496
78849.277,494
78849.282,496
78849.287,498
78849.293,495
78849.298,493
78849.303,495
78849.308,496
78849.314,493
78849.319,491
78849.324,495
78849.329,495
78849.335,492
78849.34,492
78849.345,495
78849.35,495
78849.356,492
78849.361,492
78849.366,494
78849.371,493
78849.377,489
78849.382,491
78849.387,492
78849.392,489
78849.398,486
78849.403,487
78849.408,488
78849.414,484
78849.419,483
78849.424,486
78849.429,487
78849.435,486
78849.44,486
78849.445,492
78849.45,495
78849.456,496
78849.461,503
78849.466,512
78849.471,518
78849.477,524
78849.482,535
78849.487,547
78849.492,556
78849.498,564
78849.503,578
78849.508,590
78849.513,597
78849.519,605
78849.524,616
78849.529,625
78849.534,628
78849.54,634
78849.545,642
78849.55,646
78849.555,646
78849.561,649
78849.566,653
78849.571,652
78849.576,649
78849.582,649
78849.587,648
78849.592,643
78849.598,636
78849.603,634
78849.608,631
78849.613,622
78849.619,616
78849.624,612
78849.629,606
78849.634,597
78849.64,591
78849.645,587
78849.65,581
78849.655,573
78849.661,567
78849.666,565
78849.671,559
78849.676,552
78849.682,550
78849.687,549
78849.692,543
78849.697,538
78849.703,538
78849.708,537
78849.713,532
78849.718,528
78849.724,529
78849.729,528
78849.734,524
78849.739,523
78849.745,524
78849.75,524
78849.755,520
78849.76,521
78849.766,523
78849.771,522
78849.776,520
78849.782,521
78849.787,525
78849.792,523
78849.797,522
78849.803,524
78849.808,527
78849.813,526
78849.818,526
78849.824,529
78849.829,532
78849.834,530
78849.839,531
78849.845,535
78849.85,536
78849.855,534
78849.86,535
78849.866,538
78849.871,536
78849.876,535
78849.881,536
78849.887,539
78849.892,537
78849.897,534
78849.902,536
78849.908,537
78849.913,534
78849.918,531
78849.923,532
78849.929,532
78849.934,527
78849.939,526
78849.944,527
78849.95,527
78849.955,522
78849.96,521
78849.966,522
78849.971,518
78849.976,514
78849.981,512
78849.987,513
78849.992,510
78849.997,506
78850.002,506
78850.008,506
78850.013,502
78850.018,499
78850.023,500
78850.029,499
78850.034,494
78850.039,491
78850.044,493
78850.05,491
78850.055,487
78850.06,487
78850.065,489
78850.071,488
78850.076,485
78850.081,486
78850.086,489
78850.092,486
78850.097,483
78850.102,485
78850.107,487
78850.113,484
78850.118,482
78850.123,485
78850.128,486
78850.134,483
78850.139,483
78850.144,487
78850.15,488
78850.155,484
78850.16,486
78850.165,489
78850.171,488
78850.176,486
78850.181,487
78850.186,490
78850.192,489
78850.197,488
78850.202,490
78850.207,492
78850.213,490
78850.218,488
78850.223,491
78850.228,492
78850.234,488
78850.239,486
78850.244,488
78850.249,487
78850.255,484
78850.26,484
78850.265,486
78850.27,485
78850.276,482
78850.281,483
78850.286,486
78850.291,484
78850.297,481
78850.302,483
78850.307,484
78850.312,481
78850.318,479
78850.323,482
78850.328,483
78850.334,480
78850.339,479
78850.344,482
78850.349,482
78850.355,479
78850.36,480
78850.365,483
78850.37,481
78850.376,478
78850.381,479
78850.386,481
78850.391,479
78850.397,476
78850.402,478
78850.407,480
78850.412,477
78850.418,475
78850.423,478
78850.428,478
78850.433,475
78850.439,474
78850.444,476
78850.449,475
78850.454,471
78850.46,470
78850.465,473
78850.47,471
78850.475,467
78850.481,468
78850.486,469
78850.491,466
78850.496,463
78850.502,464
78850.507,466
78850.512,464
78850.518,463
78850.523,467
78850.528,468
78850.533,466
78850.539,465
78850.544,469
78850.549,470
78850.554,468
78850.56,468
78850.565,470
78850.57,470
78850.575,468
78850.581,470
78850.586,473
78850.591,472
78850.596,470
78850.602,473
78850.607,476
78850.612,474
78850.617,473
78850.623,476
78850.628,476
78850.633,473
78850.638,473
78850.644,476
78850.649,476
78850.654,473
78850.659,473
78850.665,476
78850.67,473
78850.675,470
78850.68,471
78850.686,473
78850.691,470
78850.696,467
78850.702,469
78850.707,471
78850.712,469
78850.717,467
78850.723,470
78850.728,470
78850.733,467
78850.738,466
78850.744,467
78850.749,467
78850.754,463
78850.759,462
78850.765,465
78850.77,463
78850.775,460
78850.78,461
78850.786,464
78850.791,463
78850.796,462
78850.801,467
78850.807,471
78850.812,472
78850.817,474
78850.822,482
78850.828,489
78850.833,494
78850.838,501
78850.843,513
78850.849,522
78850.854,528
78850.859,539
78850.864,552
78850.87,561
78850.875,568
78850.88,579
78850.886,590
78850.891,596
78850.896,600
78850.901,609
78850.907,615
78850.912,617
78850.917,618
78850.922,623
78850.928,624
78850.933,620
78850.938,619
78850.943,620
78850.949,617
78850.954,610
78850.959,607
78850.964,605
78850.97,600
78850.975,593
78850.98,588
78850.985,585
78850.991,578
78850.996,570
78851.001,566
78851.006,562
78851.012,555
78851.017,548
78851.022,546
78851.027,543
78851.033,535
78851.038,529
78851.043,527
78851.049,524
78851.054,517
78851.059,515
78851.064,514
78851.07,510
78851.075,506
78851.08,504
78851.085,505
78851.091,501
78851.096,496
78851.101,497
78851.106,499
78851.112,494
78851.117,492
78851.122,494
78851.127,495
78851.133,492
78851.138,491
78851.143,495
78851.148,494
78851.154,493
78851.159,493
78851.164,497
78851.169,497
78851.175,495
78851.18,498
78851.185,502
78851.19,502
78851.196,501
78851.201,505
78851.206,508
78851.211,507
78851.217,507
78851.222,510
78851.227,513
78851.233,510
78851.238,510
78851.243,512
78851.248,513
78851.254,509
78851.259,509
78851.264,511
78851.269,510
78851.275,507
78851.28,508
78851.285,510
78851.29,507
78851.296,504
78851.301,506
78851.306,508
78851.311,504
78851.317,501
78851.322,503
78851.327,503
78851.332,499
78851.338,497
78851.343,499
78851.348,498
78851.353,494
78851.359,493
78851.364,495
78851.369,494
78851.374,489
78851.38,488
78851.385,489
78851.39,486
78851.395,482
78851.401,483
78851.406,484
78851.411,481
78851.417,479
78851.422,482
78851.427,482
78851.432,480
78851.438,478
78851.443,481
78851.448,480
78851.453,477
78851.459,476
78851.464,478
78851.469,478
78851.474,474
78851.48,475
78851.485,477
78851.49,476
78851.495,474
78851.501,476
78851.506,478
78851.511,475
78851.516,473
78851.522,475
78851.527,475
78851.532,471
78851.537,469
78851.543,471
78851.548,471
78851.553,467
78851.558,467
78851.564,469
78851.569,468
78851.574,464
78851.579,465
78851.585,467
78851.59,465
78851.595,462
78851.601,464
78851.606,466
78851.611,463
78851.616,461
78851.622,463
78851.627,464
78851.632,462
78851.637,460
78851.643,464
78851.648,464
78851.653,461
78851.658,461
78851.664,463
78851.669,462
78851.674,459
78851.679,460
78851.685,463
78851.69,460
78851.695,458
78851.7,460
78851.706,462
78851.711,459
78851.716,458
78851.721,461
78851.727,462
78851.732,459
78851.737,459
78851.742,462
78851.748,463
78851.753,460
78851.758,460
78851.763,463
78851.769,462
78851.774,460
78851.779,461
78851.785,465
78851.79,464
78851.795,462
78851.8,465
78851.806,467
78851.811,467
78851.816,465
78851.821,467
78851.827,467
78851.832,463
78851.837,461
78851.842,464
78851.848,463
78851.853,460
78851.858,459
78851.863,462
78851.869,461
78851.874,457
78851.879,458
78851.884,461
78851.89,459
78851.895,457
78851.9,459
78851.905,462
78851.911,459
78851.916,458
78851.921,460
78851.926,460
78851.932,457
78851.937,455
78851.942,459
78851.947,459
78851.953,454
78851.958,454
78851.963,456
78851.969,454
78851.974,450
78851.979,450
78851.984,451
78851.99,448
78851.995,444
78852.0,444
78852.005,444
78852.011,441
78852.016,438
78852.021,439
78852.026,441
78852.032,439
78852.037,439
78852.042,444
78852.047,447
78852.053,448
78852.058,453
78852.063,462
78852.068,468
78852.074,472
78852.079,480
78852.084,491
78852.089,499
78852.095,505
78852.1,516
78852.105,526
78852.11,533
78852.116,539
78852.121,549
78852.126,556
78852.131,560
78852.137,564
78852.142,571
78852.147,575
78852.153,575
78852.158,576
78852.163,580
78852.168,579
78852.174,575
78852.179,575
78852.184,575
78852.189,570
78852.195,563
78852.2,561
78852.205,560
78852.21,554
78852.216,547
78852.221,546
78852.226,543
78852.231,536
78852.237,531
78852.242,530
78852.247,526
78852.252,520
78852.258,515
78852.263,515
78852.268,510
78852.273,504
78852.279,501
78852.284,501
78852.289,497
78852.294,491
78852.3,492
78852.305,492
78852.31,488
78852.315,484
78852.321,485
78852.326,486
78852.331,481
78852.337,478
78852.342,481
78852.347,480
78852.352,476
78852.358,476
78852.363,479
78852.368,479
78852.373,476
78852.379,479
78852.384,482
78852.389,481
78852.394,480
78852.4,482
78852.405,487
78852.41,486
78852.415,487
