HostTime_ns,Data
1786314509039626143,504
1786314509044684273,498
1786314509049756863,492
1786314509056691349,486
1786314509060783792,479
1786314509065785659,473
1786314509070727238,467
1786314509077180243,461
1786314509081744079,455
1786314509086860422,449
1786314509092983439,443
1786314509097805330,437
1786314509102918191,431
1786314509107836433,426
1786314509113740451,422
1786314509118926966,418
1786314509123821690,414
1786314509128940921,410
1786314509134740107,407
1786314509139752221,403
1786314509144935127,399
1786314509149804117,396
1786314509155885028,393
1786314509160845636,390
1786314509165836742,387
1786314509170943680,386
1786314509176913378,384
1786314509181683180,382
1786314509186727799,380
1786314509191656504,379
1786314509197669237,378
1786314509202806039,377
1786314509207883844,376
1786314509212777013,376
1786314509218794111,376
1786314509223723028,376
1786314509228769762,375
1786314509233885871,376
1786314509239902024,378
1786314509244762356,378
1786314509249824249,379
1786314509254854108,381
1786314509260763651,381
1786314509265767478,383
1786314509270849208,384
1786314509276935430,385
1786314509281728713,387
1786314509286657029,388
1786314509291791492,388
1786314509297665048,388
1786314509302743422,388
1786314509307659867,389
1786314509312768364,389
1786314509318801281,390
1786314509323669330,389
1786314509328983561,388
1786314509333803152,388
1786314509339813974,388
1786314509345000897,387
1786314509349835872,386
1786314509354680980,385
1786314509360863575,383
1786314509365711083,382
1786314509370853434,381
1786314509375783936,380
1786314509381711106,379
1786314509386750170,377
1786314509391706497,376
1786314509396709724,374
1786314509403260679,373
1786314509408928001,372
1786314509412710136,371
1786314509417723815,372
1786314509423690686,373
1786314509428733358,375
1786314509433717653,379
1786314509439593520,384
1786314509444644505,392
1786314509449650012,403
1786314509454635635,417
1786314509460655935,433
1786314509465635617,452
1786314509470644821,475
1786314509476695961,500
1786314509481687237,528
1786314509486789666,559
1786314509491714923,591
1786314509496685570,625
1786314509502715296,659
1786314509507806623,694
1786314509512793194,728
1786314509517745147,761
1786314509523757379,792
1786314509528788148,822
1786314509533798126,850
1786314509538881294,873
1786314509544938396,894
1786314509549901646,910
1786314509554895140,924
1786314509559881757,934
1786314509565670409,941
1786314509570699010,943
1786314509575829826,943
1786314509580832083,938
1786314509586722018,931
1786314509591723541,922
1786314509596672075,910
1786314509601735160,895
1786314509607774186,878
1786314509612764898,859
1786314509617783045,838
1786314509623721038,815
1786314509629712265,792
1786314509633811589,767
1786314509638829333,742
1786314509644737138,716
1786314509649925450,690
1786314509654707054,664
1786314509660437044,639
1786314509665715044,613
1786314509670778180,589
1786314509675811684,567
1786314509680836112,545
1786314509686685438,527
1786314509691748673,509
1786314509696747800,494
1786314509701800360,482
1786314509707811108,472
1786314509712683122,464
1786314509718037172,458
1786314509722711985,455
1786314509728888171,452
1786314509733854617,452
1786314509738836560,453
1786314509743772361,456
1786314509749717158,460
1786314509754827494,466
1786314509759678521,472
1786314509764739520,478
1786314509770965257,486
1786314509775908422,494
1786314509780752568,502
1786314509785767896,510
1786314509791937855,518
1786314509796776761,526
1786314509801929583,532
1786314509807660685,538
1786314509812658924,544
1786314509817652860,548
1786314509822651485,552
1786314509828815148,555
1786314509833632557,557
1786314509838744483,558
1786314509843890641,559
1786314509849728680,558
1786314509854919833,556
1786314509859946681,554
1786314509864728976,551
1786314509870994065,547
1786314509875948305,542
1786314509880680578,537
1786314509885734728,531
1786314509891827061,526
1786314509896820094,520
1786314509901795778,513
1786314509906908825,506
1786314509912717607,499
1786314509917796367,492
1786314509922795478,484
1786314509927812151,477
1786314509933767214,470
1786314509938793919,464
1786314509943731764,458
1786314509948710030,451
1786314509954975633,445
1786314509959775878,440
1786314509964745576,433
1786314509969730937,428
1786314509975801257,423
1786314509980804440,418
1786314509985760092,412
1786314509991860777,407
1786314509996725500,403
1786314510001923116,399
1786314510006836985,395
1786314510012704315,391
1786314510017673191,389
1786314510022879677,385
1786314510027763761,383
1786314510033799337,381
1786314510038708296,379
1786314510043705330,377
1786314510048801910,375
1786314510054832552,374
1786314510060490633,373
1786314510064715321,372
1786314510069708196,372
1786314510075807277,372
1786314510080793524,372
1786314510086671142,372
1786314510090666330,373
1786314510096915974,374
1786314510102145391,375
1786314510107845338,376
1786314510111779873,377
1786314510117710195,378
1786314510122753447,379
